"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"MFE",20666,734,4217,295643,-98.237965,26.176141,"Texas",722506,26.184,-98.254,31.6005875440658,34,5.43941176470588,15662.3407755582,63.0033935279586,1.82317627159051
"MFR",28034,502,4235,286732,-122.873001098633,42.3741989135742,"Oregon",725970,42.367,-122.873,23.4594465648855,403.604961832061,1.94208015267176,15802.8883587786,49.2476163590729,0.800482671893294
"MGM",13492,269,2302,168364,-86.393997,32.300598,"Alabama",722260,32.3,-86.408,27.4688592839301,62.0083263946711,2.12001675041876,14579.7941666667,74.4717273536561,1.31779989547856
"MHK",6920,236,1131,69130,-96.6707992553711,39.140998840332,"Kansas",724555,39.135,-96.679,24.2164783427495,325.992467043314,2.74815864022663,15098.7719132893,80.6768989289525,0.972208289778956
"MHT",32726,1014,5955,351787,-71.435699,42.932598,"NewHampshire",726050,43.2,-71.503,19.8618759455371,105,1.73275208491281,13474.7526475038,77.1680208025741,30.2321962715831
"MIA",422934,9104,76363,5287137,-80.2906036376953,25.7931995391846,"Florida",722020,25.75,-80.383,28.5214226633581,8.18114143920596,2.45541770057899,15134.6799007444,73.7989928241476,10.4247570161211
"MKE",128834,3150,22744,1386598,-87.896598815918,42.9472007751465,"Wisconsin",726400,42.947,-87.904,22.0086099585062,211.01867219917,3.56545643153527,15128.3174273859,68.736117078593,0.602816661110945
"MKG",3371,154,590,41327,-86.238197,43.169498,"Michigan",726360,43.167,-86.25,21.5813977389517,193,3.24326824254882,15520.6135163675,67.8607592833869,0.99670701677114
"MLB",11795,238,1569,85941,-80.645302,28.1028,"Florida",722040,28.101,-80.645,27.80884289746,8.00376293508937,3.33709981167608,14483.3414863594,81.5069488010869,0.202331007148913
"MLI",18837,574,3174,226295,-90.5075,41.448502,"Illinois",725440,41.45,-90.523,22.8480582524272,181,2.5667964946446,14647.0398058252,71.769423062023,1.3025466334029
"MLU",11509,281,1578,113289,-92.037697,32.510899,"Louisiana",722486,32.511,-92.041,28.1641330166271,24.9916864608076,1.59284009546539,15215.2767220903,75.9783673673606,0.309923979083469
"MMH",999,194,203,18257,-118.8379974,37.62409973,"California",723894,37.624,-118.85,18.3653987167736,2173,2.53712190650779,16063.1292392301,36.6334050471481,1.05712838564504
"MOB",19835,507,3222,221868,-88.242798,30.6912,"Alabama",722230,30.683,-88.25,27.4172839506173,67,2.11732979664014,13344.7451499118,83.4433916887242,1.14265564831318
"MOT",11432,279,1603,131142,-101.279998779297,48.2593994140625,"NorthDakota",720909,48.301,-102.406,17.6951945080092,684,3.68277599633532,15610.5503663004,80.2915740930032,83.4504315166245
"MQT",5702,149,1006,116519,-87.395401,46.3536,"Michigan",726284,46.35,-87.4,15.3397986577181,372,2.27342281879194,14661.7669576897,78.4880933819611,0.533695884579577
"MRY",17884,396,2990,219381,-121.843002319336,36.5870018005371,"California",724915,36.587,-121.845,17.2159802306425,67.0543657331137,2.47543281121187,12209.7716405606,76.8092745978773,0.178361570703961
"MSN",52561,1329,8863,571358,-89.337502,43.1399,"Wisconsin",726410,43.133,-89.345,20.3614573346117,264.01150527325,2.03640730067243,14407.7612655801,75.4648398786507,0.97919285827186
"MSO",20294,233,3071,186355,-114.0910034,46.91630173,"Montana",725784,46.14,-115.6,20.8705802968961,451.195681511471,0.50445945945946,NA,64.2470367967955,144.14104664196
"MSP",641766,10194,84723,6459828,-93.221802,44.882,"Minnesota",726580,44.882,-93.229,21.3434990439771,255.000956022945,3.632982791587,15149.2399617591,68.8720797828308,0.567119266949468
"MSY",234751,7180,42713,2501258,-90.2580032348633,29.9934005737305,"Louisiana",722310,29.983,-90.278,29.0064015518914,6.35111542192047,2.46789524733269,15628.6032977692,74.9220433827424,2.2464298068522
"MTJ",10895,350,1861,111769,-107.893997192,38.5097999573,"Colorado",724765,38.506,-107.898,23.269696969697,1755,3.38382749326146,16018.7944664032,34.2629088321431,0.54758161213693
"MVY",3226,72,602,42228,-70.6143035889,41.3931007385,"Massachusetts",725066,41.393,-70.615,21.1135242641209,21,3.06847133757962,11699.7987271281,84.7818648994996,0.0591629533187024
"MYR",62374,1708,10214,660572,-78.9282989502,33.6796989441,"SouthCarolina",720613,33.828,-79.122,25.3681010289991,10,1.13966323666978,10159.0533208606,83.5067634723973,24.343828041103
"OAJ",11299,269,1687,104841,-77.612099,34.829201,"NorthCarolina",723069,34.829,-77.617,25.1537440758294,29,2.08815165876778,13018.981042654,83.7037907508069,0.447898636396369
"OAK",223876,5366,35835,1805297,-122.221001,37.721298,"California",724930,37.721,-122.221,19.3897228637413,26.8060046189376,4.0986143187067,15635.8845265589,72.7216758186123,0.0331362048709788
"OGD",457,16,87,4180,-112.0120010376,41.195899963379,"Utah",725750,41.196,-112.012,24.2357142857143,1353.01298701299,3.04096228868661,15887.661038961,30.3266736491486,0.0111239035138238
"OGG",124317,1235,16614,831212,-156.431212,20.898543,"Hawaii",720646,37.513,-122.501,15.5011343584573,20,2.81851193499238,9740.47969735183,90.1972552804278,3745.98378964311
"OGS",2196,111,377,46518,-75.4655,44.6819,"NewYork",726223,44.936,-74.846,19.4430894308943,65.005081300813,2.19806122448979,14013.1026422764,75.7993852149314,56.4509422085557
"OKC",101401,2370,19481,1182976,-97.6007,35.393101,"Oklahoma",723530,35.383,-97.601,26.9960034752389,397.211120764553,4.55182608695652,15302.4491746308,73.3404632210284,1.12350914627587
"OMA",107862,2441,19011,1091162,-95.894096,41.3032,"Nebraska",725500,41.3,-95.9,23.6602261048304,299.001027749229,3.69701952723536,15476.8376156218,73.9965003531295,0.608149549624636
"OME",3215,123,347,14413,-165.445007324219,64.5121994018555,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,3094.90088580047
"ONT",104473,1997,18124,966025,-117.600997924805,34.0559997558594,"California",722899,33.975,-117.637,24.4199481865285,207.976683937824,2.56173800259403,14784.9779792746,59.3456717943128,9.59856525722249
"ORD",1326258,39828,232224,18889013,-87.9048,41.9786,"Illinois",725300,41.96,-87.934,22.4955715756952,204.99588053553,3.39680741503604,15262.2790937178,69.0750994955844,3.17888556788257
"ORF",95577,2881,18060,1156306,-76.201202,36.8946,"Virginia",723080,36.9,-76.2,25.9010169491525,9,3.51928632115548,15149.179661017,76.2927876432513,0.60989186821608
"ORH",4831,246,1096,83325,-71.875702,42.2673,"Massachusetts",725100,42.267,-71.876,20.4232106339468,309.997955010225,3.63139059304704,14373.0490797546,77.6671823051768,0.0414014541140525
"OTH",1766,62,369,26080,-124.246002197266,43.4170989990234,"Oregon",725975,42.6,-123.364,16.9750244857982,1171,2.08079207920792,12003.9412340842,70.4147841313631,115.749720231049
"OTZ",3217,116,328,16096,-162.598999,66.88469696,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,3053.06028746817
"OWB",486,18,110,5014,-87.16680145,37.74010086,"Kentucky",724237,37.74,-87.167,24.5510440835267,124,2.36496519721578,14722.0441347271,79.8280468744463,0.0207507941080273
